date,Mkt-RF,SMB,HML,RF
1990-11-01,-14.12,-5.53,-0.2,0.57
1990-12-01,1.93,-5.86,-3.61,0.6
1991-01-01,1.19,-7.56,0.24,0.52
1991-02-01,12.29,11.15,0.8,0.48
1991-03-01,-4.2,3.63,0.4,0.44
1991-04-01,2.18,1.41,1.5,0.53
1991-05-01,-2.03,-0.79,0.4,0.47
1991-06-01,-7.09,1.17,3.57,0.42
1991-07-01,1.39,-3.51,1.0,0.49
1991-08-01,-7.24,-4.95,-0.84,0.46
1991-09-01,8.66,1.78,0.08,0.46
1991-10-01,4.06,2.12,-3.42,0.42
1991-11-01,-8.52,-2.3,-0.35,0.39
1991-12-01,2.5,1.0,-0.09,0.38
1992-01-01,-5.67,-1.17,1.91,0.34
1992-02-01,-7.22,2.99,-0.7,0.28
1992-03-01,-11.45,-1.22,2.31,0.34
1992-04-01,-7.7,-3.98,5.45,0.32
1992-05-01,8.73,5.15,-2.41,0.28
1992-06-01,-9.05,-0.06,2.49,0.32
1992-07-01,-3.27,-5.69,-1.12,0.31
1992-08-01,16.37,-5.09,-6.59,0.26
1992-09-01,-2.86,3.61,-0.14,0.26
1992-10-01,-5.39,-1.76,1.18,0.23
1992-11-01,1.85,-3.21,-1.4,0.23
1992-12-01,-1.03,2.1,2.33,0.28
1993-01-01,-0.87,-1.67,0.28,0.23
1993-02-01,4.35,2.09,-0.16,0.22
1993-03-01,15.85,0.26,3.69,0.25
1993-04-01,16.68,1.07,3.81,0.24
1993-05-01,4.96,12.26,-1.83,0.22
1993-06-01,-4.19,-2.64,-2.67,0.25
1993-07-01,6.71,-4.79,0.36,0.24
1993-08-01,2.15,-0.51,0.32,0.25
1993-09-01,-5.2,0.87,-0.65,0.26
1993-10-01,-2.56,-7.67,0.19,0.22
1993-11-01,-16.22,-1.54,-0.37,0.25
1993-12-01,2.0,-0.92,2.81,0.23
1994-01-01,16.87,1.2,3.59,0.25
1994-02-01,3.88,0.93,2.46,0.21
1994-03-01,-2.23,5.54,2.01,0.27
1994-04-01,3.29,2.21,0.0,0.27
1994-05-01,1.23,-2.03,2.78,0.32
1994-06-01,6.02,4.56,3.85,0.31
1994-07-01,-4.11,0.97,-0.59,0.28
1994-08-01,-0.29,-2.25,0.6,0.37
1994-09-01,-3.22,-1.74,0.59,0.37
1994-10-01,2.2,-0.68,0.95,0.38
1994-11-01,-6.55,-1.94,-0.09,0.37
1994-12-01,1.61,0.53,-0.41,0.44
1995-01-01,-6.85,2.01,-2.21,0.42
1995-02-01,-5.61,-0.9,0.08,0.4
1995-03-01,8.6,-3.45,1.23,0.46
1995-04-01,3.67,-2.04,-1.83,0.45
1995-05-01,-6.79,-2.61,-0.67,0.54
1995-06-01,-4.6,-1.67,1.93,0.47
1995-07-01,5.9,0.11,-2.44,0.45
1995-08-01,-3.08,3.1,-0.53,0.47
1995-09-01,-1.6,-1.81,-1.94,0.43
1995-10-01,-4.32,1.86,-0.66,0.47
1995-11-01,4.09,0.74,0.45,0.42
1995-12-01,4.35,1.78,2.57,0.49
1996-01-01,-1.67,3.14,2.04,0.43
1996-02-01,-1.84,-0.34,-0.3,0.39
1996-03-01,2.6,-0.89,-0.96,0.39
1996-04-01,6.38,5.0,1.25,0.46
1996-05-01,-4.91,0.91,0.63,0.42
1996-06-01,-0.03,-1.69,1.19,0.4
1996-07-01,-5.17,-1.24,1.03,0.45
1996-08-01,-4.72,0.67,-0.44,0.41
1996-09-01,2.44,-4.78,0.43,0.44
1996-10-01,-7.28,0.5,0.45,0.42
1996-11-01,0.22,-5.03,1.37,0.41
1996-12-01,-7.52,-4.63,2.02,0.46
1997-01-01,-11.18,0.68,1.09,0.45
1997-02-01,1.46,-2.5,-0.5,0.39
1997-03-01,-4.1,-4.37,1.67,0.43
1997-04-01,1.49,-5.23,-0.18,0.43
1997-05-01,13.05,4.32,-4.38,0.49
1997-06-01,5.44,-3.08,-0.67,0.37
1997-07-01,-4.44,-7.38,-2.26,0.43
1997-08-01,-9.83,-1.23,0.27,0.41
1997-09-01,-2.96,-11.44,-1.96,0.44
1997-10-01,-8.07,8.08,-0.86,0.42
1997-11-01,-8.35,-9.47,-3.2,0.39
1997-12-01,-8.12,-6.69,-1.79,0.48
1998-01-01,10.55,13.35,1.95,0.43
1998-02-01,0.82,4.59,1.01,0.39
1998-03-01,-6.92,-2.94,1.22,0.39
1998-04-01,-2.29,-2.41,-1.83,0.43
1998-05-01,-4.9,0.27,0.57,0.4
1998-06-01,0.31,0.08,0.34,0.41
1998-07-01,-1.63,0.74,-1.65,0.4
1998-08-01,-9.26,1.53,-1.58,0.43
1998-09-01,-3.91,-1.76,-2.4,0.46
1998-10-01,16.12,-4.67,1.65,0.32
1998-11-01,3.63,1.38,2.09,0.31
1998-12-01,2.78,0.09,-1.98,0.38
1999-01-01,0.79,-0.48,-0.42,0.35
1999-02-01,-2.6,4.13,-4.57,0.35
1999-03-01,13.61,-0.61,1.6,0.43
1999-04-01,4.67,4.4,3.89,0.37
1999-05-01,-5.32,-0.19,-1.19,0.34
1999-06-01,10.47,9.63,-6.01,0.4
1999-07-01,9.94,-4.01,0.54,0.38
1999-08-01,2.8,1.6,0.04,0.39
1999-09-01,6.82,-2.33,-3.89,0.39
1999-10-01,6.21,-5.45,-5.71,0.39
1999-11-01,7.24,-5.25,-14.25,0.36
1999-12-01,3.61,-7.91,-8.24,0.44
2000-01-01,-5.36,1.64,6.32,0.41
2000-02-01,-1.72,2.74,-7.86,0.43
2000-03-01,6.1,0.86,6.03,0.47
2000-04-01,-9.09,-3.17,2.44,0.46
2000-05-01,-7.55,4.83,10.05,0.5
2000-06-01,5.92,1.99,6.11,0.4
2000-07-01,-12.28,-0.92,4.49,0.48
2000-08-01,6.46,1.48,-3.51,0.5
2000-09-01,-4.82,-3.14,6.05,0.51
2000-10-01,-7.57,-6.22,7.96,0.56
2000-11-01,-3.03,1.13,5.81,0.51
2000-12-01,-9.89,-1.37,7.79,0.5
2001-01-01,-0.79,1.4,-5.79,0.54
2001-02-01,-5.52,4.7,6.26,0.38
2001-03-01,-4.21,0.58,0.51,0.42
2001-04-01,8.7,0.16,4.71,0.39
2001-05-01,-0.13,2.87,-0.79,0.32
2001-06-01,-5.34,1.06,6.47,0.28
2001-07-01,-8.93,-1.45,6.41,0.3
2001-08-01,-2.71,1.75,8.24,0.31
2001-09-01,-7.69,-1.01,-0.32,0.28
2001-10-01,0.8,3.02,-4.54,0.22
2001-11-01,-1.8,-3.46,-3.2,0.17
2001-12-01,-8.23,-3.72,1.64,0.15
2002-01-01,-7.82,1.94,1.53,0.14
2002-02-01,5.08,0.43,3.07,0.13
2002-03-01,5.63,0.43,-5.59,0.13
2002-04-01,5.21,1.27,-1.26,0.15
2002-05-01,7.1,1.55,2.74,0.14
2002-06-01,-4.79,1.58,1.61,0.13
2002-07-01,-6.04,3.62,3.19,0.15
2002-08-01,-1.42,-1.32,1.8,0.14
2002-09-01,-4.94,-0.06,3.97,0.14
2002-10-01,-6.77,-2.72,1.26,0.14
2002-11-01,3.03,-6.02,-0.9,0.12
2002-12-01,-2.42,2.22,1.23,0.11
2003-01-01,-3.41,3.85,1.68,0.1
2003-02-01,1.46,2.06,5.83,0.09
2003-03-01,-2.93,3.14,1.83,0.1
2003-04-01,1.09,3.49,0.14,0.1
2003-05-01,4.53,2.09,-2.19,0.09
2003-06-01,7.12,0.19,1.94,0.1
2003-07-01,3.47,-1.06,-0.56,0.07
2003-08-01,9.79,-1.53,2.43,0.07
2003-09-01,7.48,3.03,-1.68,0.08
2003-10-01,4.16,4.46,-2.84,0.07
2003-11-01,-3.87,-3.23,-0.2,0.07
2003-12-01,6.47,-1.95,2.79,0.08
2004-01-01,1.98,4.81,0.24,0.07
2004-02-01,-0.08,-0.87,2.31,0.06
2004-03-01,15.03,7.4,3.52,0.09
2004-04-01,-4.54,7.96,-3.81,0.08
2004-05-01,-3.35,-3.37,0.25,0.06
2004-06-01,5.39,5.92,-1.14,0.08
2004-07-01,-6.78,-1.31,4.65,0.1
2004-08-01,0.99,0.32,-1.11,0.11
2004-09-01,-3.18,-1.44,3.18,0.11
2004-10-01,2.38,-0.29,0.41,0.11
2004-11-01,3.81,-0.72,-0.4,0.15
2004-12-01,5.03,-1.14,0.91,0.16
2005-01-01,-1.2,6.49,0.54,0.16
2005-02-01,1.71,1.59,2.28,0.16
2005-03-01,-1.51,1.38,3.44,0.21
2005-04-01,-2.17,2.6,0.47,0.21
2005-05-01,-2.61,-2.09,0.24,0.24
2005-06-01,0.73,1.94,-0.35,0.23
2005-07-01,0.66,1.58,-1.04,0.24
2005-08-01,6.67,-3.75,-0.7,0.3
2005-09-01,7.93,-6.44,3.15,0.29
2005-10-01,-0.35,2.2,1.15,0.27
2005-11-01,2.93,0.02,-2.15,0.31
